Magazine code,Date,English title,Japanese title,English Kindle,Bilingual Print,Tankōbon,Complete Collection,1979 anime,,2005 anime,,,Movie,,Short film,Notes
G2,1978-10,The Course Marker,コース決定機,Vol 171,,,Vol 10,Ep 563,,,,,,,,
G3,1978-10,The Home Exerciser,アスレチック・ハウス,Vol 63,Vol 1-6,Vol 19,Vol 9,Ep 229,,Ep 97A (184),,,,,,
G4,1978-10,The Zero-Gravity House,野比家が無重力,Vol 101,,Vol 32,Vol 8,Ep 349,,Ep 154B (276),,,Nobita Drifts in the Universe,,,
G5,1978-10,The Reverse ESP Nuts,テレパしい,Vol 61,Vol 1-6,Vol 18,Vol 7,Ep 253,Ep 1452,Ep 480B (848),,,,,,
G6,1978-10,A Snowcapped Romance,雪山のロマンス,Vol 67,Vol 1-7,Vol 20,Vol 6,Ep 283,Ep 1024,Ep 32A (62),Ep 352C (594),,Stand by Me Doraemon,,,
G1,1978-11,The Instant Delivery Machine,忘れ物おくりとどけ機,Vol 77,Vol 1-8,Vol 24,Vol 11,Ep 318,,Ep 299B (489),,,,,,
G2,1978-11,Leaf Money,木の葉でお買い物,Vol 171,,,Vol 10,Ep 423,,,,,,,,
G3,1978-11,The Gratitude Adjuster,ありがたみわかり機,Vol 18,Vol 1-6,Vol 19,Vol 9,Ep 270,Ep 1077,Ep 250B (403),Ep 742A (1288),,,,,
G4,1978-11,Noby's Window,あの窓にさようなら,Vol 65,Vol 1-6,Vol 19,Vol 8,Ep 238,Ep 852,Ep 188 (318),,,,,,
G5,1978-11,The Delivery Phone,出前電話,Vol 64,Vol 1-6,Vol 19,Vol 7,Ep 299,,Ep 623B (1090),,,,,,
G6,1978-11,Moas and Dodos Forever,モアよドードーよ、永遠に,Vol 18,Vol 2-4,Vol 17,Vol 6,Special (Ep 541B),,,,,Nobita and the Island of Miracles,,,
CD,1978-11,Doraemon's Birth!,ドラえもん誕生,Vol 199,,Vol 0,Vol 20,,,,,,,,2112: The Birth of Doraemon,
G1,1978-12,The Emotion Magnum,ゲラメソプンピストル,Vol 188,,,Vol 11,Ep 411,,,,,,,,
G2,1978-12,The Wish Blaster,ノゾミルじゅう,Vol 167,,,Vol 10,Ep 463,,Ep 705B (1227),,,,,,
G3,1978-12,The Million-Volt Eyes,百万ボルトひとみ,Vol 151,,Vol +4,Vol 9,Ep 448,,Ep 446B (784),,,,,,
G4,1978-12,Happy Little Planet,しあわせのお星さま,Vol 13,,Vol 18,Vol 8,Ep 358,,Ep 644B (1130),,,,,,
G5,1978-12,The Sandman Sleeps at Night,ねむれぬ夜に砂男,Vol 62,,Vol 18,Vol 7,Ep 278,,,,,,,,
G6,1978-12,Noby's Secret Tunnels,のび太の秘密トンネル,Vol 64,Vol 1-6,Vol 19,Vol 6,Ep 339,Ep 1675,Ep 335B (559),,,,,,
G1,1979-01,Mini Santa,ミニサンタ,Vol 151,,Vol +4,Vol 11,Ep 489,,Ep 583A (1038),,,,,,
G2,1979-01,The All-In-One Appliance,オコノミボックス,Vol 63,,Vol 19,Vol 10,Ep 516,,Ep 643A (1127),,,,,,
G3,1979-01,The 3D Pinhole Camera,実物立体日光写真,Vol 66,,Vol 20,Vol 9,Ep 267,,,,,,,,
G4,1979-01,Free Money,出てくる出てくるお年玉,Vol 67,,Vol 20,Vol 8,Ep 1333,,Ep 584B (1040),,,,,,
G5,1979-01,Amazing Maze,ホームメイロ,Vol 11,Vol 1-6,Vol 18,Vol 7,Ep 430,Ep 935,Ep 187A (316),Ep 766A (1321),,,,,
G6,1979-01,The Dorayaki as Big as the Ritz,へやいっぱいの大ドラやき,Vol 67,,Vol 20,Vol 6,Ep 328,,Ep 577A (1031),,,,,,
TK,1979-01,Abominable Snow Job,雪男のアルバイト,Vol 152,,Vol +4,Vol 19,Ep 591,,Ep 107B (202),Ep 744B (1291),,,,,
G1,1979-02,Games in Space,宇宙探検すごろく,Vol 67,Vol 1-7,Vol 20,Vol 11,Ep 482,,Ep 436A (763),,,,,,
G2,1979-02,Go Parts,乗り物アクセサリー,Vol 167,,,Vol 10,Ep 25,,,,,,,,
G3,1979-02,The New Year's Sunrise Set,初日の出セット,Vol 158,,Vol +6,Vol 9,Ep 492,,Ep 637C (1116),,,,,,
G4,1979-02,The Doc-in-a-Box,お医者さんカバン,Vol 65,,Vol 20,Vol 8,Ep 1339,,Ep 471B (832),,,,,,
G5,1979-02,"Good House, Bad House",よい家悪い家,Vol 98,,Vol 31,Vol 7,Ep 459,,Ep 353A (595),,,,,,
G6,1979-02,The Around the World Quiz,クイズは地球をめぐる,Vol 19,,Vol 19,Vol 6,Ep 280,,Ep 279A (452),,,,,,
G1,1979-03,Making Snow,雪ふらし,Vol 188,,,Vol 11,Ep 490,,,,,,,,
G2,1979-03,The Training Ring,ごくうリング,Vol 171,,,Vol 10,Ep 51,,,,,,,,
G3,1979-03,The Air Stair Maker,空気ブロックせいぞう機,Vol 186,,,Vol 9,Ep 59,,,,,,,,
G4,1979-03,Ask the Fate Forecaster,答え一発！みこみ予ほう機,Vol 184,,Vol +7,Vol 8,Ep 114,Ep 1357,Ep 777A (1336),,,,,,
G5,1979-03,The Couple Tester Badges,カップルテストバッジ,Vol 63,Vol 2-3,Vol 19,Vol 7,Ep 304,,Ep 79B (154),,,,,,
G6,1979-03,The Body-Swap Bar,身がわりバー,Vol 159,,Vol +6,Vol 6,Ep 250,,,,,,,,
G1,1979-04,Fun with Cloud Clay,ふわりねんど,Vol 170,,,Vol 12,Ep 370,,,,,,,,
G2,1979-04,The Shockwave Shooter,しょうげき波ピストル,Vol 188,,,Vol 11,Ep 354,,,,,,,,
G3,1979-04,Super Big G,スーパージャイアン,Vol 146,,Vol +2,Vol 10,Ep 142,Ep 1165,Ep 90A (172),,,,,,
G4,1979-04,Radish Rampage,だいこんダンスパーティー,Vol 15,Vol 2-6,Vol 21,Vol 9,Ep 182,Ep 1481,Ep 233 (382),Ep 775A (1334),,,,,
G5,1979-04,The Automatic Pawnshop,自動質屋機,Vol 62,,Vol 18,Vol 8,Ep 279,Ep 936,Ep 417B (728),,,,,,
G6,1979-04,The R/C Run-Around,ラジコンシミュレーターでぶっとばせ,Vol 71,Vol 1-7,Vol 22,Vol 7,Ep 275,,,,,,,,
G1,1979-05,Pep Pellets,げんきえさ,Vol 170,,,Vol 12,Ep 333,,Ep 362B (612),,,,,,
G2,1979-05,Projection Paint,デカチンキ,Vol 164,,,Vol 11,Ep 614,,Ep 734 (Short),,,,,,
G3,1979-05,The Viddy-Me Deck,わりこみビデオでテレビ出演,Vol 187,,,Vol 10,Ep 418,,,,,,,,
G4,1979-05,No Matter the Price,お金がわいて出た話,Vol 17,,Vol 18,Vol 9,Ep 360,,,,,,,,
G5,1979-05,The Phobia-Maker,苦手つくり機,Vol 150,,Vol +3,Vol 8,Ep 158,Ep 1643,Ep 210A (348),,,,,,
G6,1979-05,The Discipline Drops,しつけキャンディー,Vol 71,Vol 1-7,Vol 22,Vol 7,Ep 287,Ep 1476,Ep 313A (515),Ep 560A (997),,,,,
TK,1979-05,The Thrill Boomerang,スリルブーメラン,Vol 61,Vol 1-6,Vol 18,Vol 19,Ep 294,,Ep 473A (835),,,,,,
G1,1979-06,The Dandelion Fuzz Comb,たんぽぽくし,Vol 165,,,Vol 12,Ep 522,,Ep 860A (1452),,,,,,
G2,1979-06,"Rich Dad, Poor Dad",ふくびんコンビ,Vol 65,Vol 1-7,Vol 20,Vol 11,Ep 394,,Ep 359A (605),,,,,,
G3,1979-06,The Mind Camera,念写カメラマン,Vol 70,Vol 1-7,Vol 21,Vol 10,Ep 364,,,,,,,,
G4,1979-06,The Time Scope,きりかえ式タイムスコープ,Vol 86,,Vol 27,Vol 9,Ep 367,Ep 1653,,,,,,,
G5,1979-06,Pandora's Monster,パンドラのお化け,Vol 16,,Vol 19,Vol 8,Ep 274,Ep 1399,Ep 460A (809),,,,,,
G6,1979-06,Homemade Missile Defense,手作りミサイル大作戦,Vol 137,,Vol 44,Vol 7,Ep 233,,,,,,,,
TK,1979-06,The Dandelion's Journey,タンポポ空を行く,Vol 62,Vol 1-6,Vol 18,Vol 19,Ep 381,Ep 1617,Ep 5B (10),Ep 658B (1152),,,,,
G1,1979-07,Air Gloves,空気てぶくろ,Vol 171,,,Vol 12,,,,,,,,,
G2,1979-07,Nosebubbles,はなバルーン,Vol 158,,Vol +6,Vol 11,Ep 452,,Ep 343B (576),,,,,,
G3,1979-07,Real Dinosaurs!?,恐竜が出た！？,Vol 68,,Vol 21,Vol 10,Ep 595–596,,Ep 39B (78),,,,,,
G4,1979-07,Alone in the Future,未来の町にただ一人,Vol 68,,Vol 21,Vol 9,Ep 1270,,Ep 53A (104),Ep 665A (1164),,,,,
G5,1979-07,The Superlungs,強力ハイポンプガス,Vol 139,,Vol 45,Vol 8,Ep 415,Ep 1679,Ep 822B (1400),,,,,,
G6,1979-07,The Experience Recorder,録験機で楽しもう,Vol 98,,Vol 31,Vol 7,Ep 428,Ep 1671,Ep 527A (935),,,,,,
TK,1979-07,The Spy Satellites,スパイ衛星でさぐれ,Vol 61,,Vol 18,Vol 19,Ep 469,,Ep 630A (1103),,,,,,
G1,1979-08,R/C Heart Parts,ラジコンのもと,Vol 165,,,Vol 12,,,Ep 730 (Short),,,,,,
G2,1979-08,The Happy Little Mermaid,しあわせな人魚姫,Vol 8,Vol 2-6,Vol 19,Vol 11,Ep 417,,Ep 181 (309),,,,,,
G3,1979-08,Summer Doll House,ミニハウスでさわやかな夏,Vol 69,,Vol 21,Vol 10,Ep 447,,Ep 374A (636),,,,,,
G4,1979-08,The 2-dehydrator Camera,チッポケット二次元カメラ,Vol 12,,Vol 20,Vol 9,Ep 320,Ep 1501,Ep 56B (112),,,,,,
G5,1979-08,The Crowd-be-Gone Gyro,人よけジャイロ,Vol 63,,Vol 19,Vol 8,Ep 396,,Ep 292A (474),Ep 889A (1487),,,,,
G6,1979-08,The Medusa Head,ゴルゴンの首,Vol 66,Vol 1-7,Vol 20,Vol 7,Ep 303,Ep 1067,Ep 26B (51),Ep 347B (583),,,,,
TK,1979-08,The Sticky-Boatdeck,ペタリ甲板,Vol 157,,Vol +6,Vol 19,Ep 1092,,Ep 399A (683),,,,,,
CC,1979-08,,ドラQパーマン,,,,Vol 20,Special (Ep 315C),,,,,,,,"Illustrated by Hideo Shinoda instead of Fujiko F. Fujio, though Fujio is still credited as a co-author."
G1,1979-09,Playing with Typhoons,台風遊び,Vol 166,,,Vol 12,,,,,,,,,
G2,1979-09,"Go, Time, Go!",時間よ動け～っ！！,Vol 77,,Vol 24,Vol 11,Ep 410,,Ep 146B (264),Ep 809B (1385),,,,,
G3,1979-09,The All-Purpose Tent,万能テントですてきなキャンプ,Vol 187,,Vol +7,Vol 10,Ep 359,,Ep 378A (643),,,,,,
G4,1979-09,The Monster Trunk,お化けツヅラ,Vol 148,,Vol +3,Vol 9,Ep 379,,Ep 773B (1330),,,,,,
G5,1979-09,The Samaritan Snaps,ぼくをタスケロン,Vol 65,Vol 2-1,Vol 20,Vol 8,Ep 301,Ep 968,Ep 60B (120),Ep 870A (1465),,,,,
G6,1979-09,Big Boss Noby,いばり屋のび太,Vol 69,,Vol 21,Vol 7,Ep 409,,,,,,,,
TK,1979-09,The Amazing Nobyman,行け！ノビタマン,Vol 18,,Vol 21,Vol 19,Ep 541,Ep 929,Ep 74 (144),Ep 539B (959),,,,,
CC,1979-09,Dorami and Doraemon,ドラえもんとドラミちゃん,Vol 153,,Vol +4,Vol 20,Special (Ep 315B),,Ep 72B (141),,,,,,
G1,1979-10,The Animal Dress-Up Set,動物セット,Vol 166,,,Vol 12,Ep 437,,,,,,,,
G2,1979-10,The World's Strongest Pet,強いペットがほしい,Vol 144,,Vol +1,Vol 11,Ep 361,Ep 1170,Ep 576B (1030),,,,,,
G3,1979-10,Art Assist,みたままベレーで天才画家,Vol 106,Vol 3-6,Vol 34,Vol 10,Ep 306,,Ep 706B (1229),,,,,,
G4,1979-10,The Tax-myna Cometh,税金鳥,Vol 15,Vol 2-4,Vol 22,Vol 9,Ep 313,,Ep 68A (132),,,,,,
G5,1979-10,Comics in a Can,カンヅメカンでまんがを,Vol 80,Vol 1-8,Vol 25,Vol 8,Ep 312,,,,,,,,
G6,1979-10,My Home Mountain,大雪山がやってきた,Vol 12,,Vol 19,Vol 7,Ep 244,Ep 857,Ep 238 (386),Ep 642A (1125),,,,,
TK,1979-10,Happy Tummy Gas,ヘソリンガスでしあわせに,Vol 79,,Vol 25,Vol 19,Ep 467,,,,,,,,
G1,1979-11,The Heart-to-Heart Drops,ココロコロン,Vol 67,Vol 1-7,Vol 20,Vol 12,Ep 385,Ep 984,Ep 9B (17),Ep 861A (1453),,,,,
G2,1979-11,The Task-Trader,すること入れかえ機,Vol 161,,,Vol 11,Ep 532,,,,,,,,
G3,1979-11,The Blue Bird of Happiness,しあわせをよぶ青い鳥,Vol 72,Vol 2-6,Vol 22,Vol 10,Ep 323,Ep 1403,,,,,,,
G4,1979-11,"""Space Demon"" - the Backyard Sci-Fi Spectacle",超大作特撮映画「宇宙大魔神」,Vol 20,,Vol 20,Vol 9,Special (Ep 1110A),,Ep 121A (225),Ep 636A (1113),,,,,
G5,1979-11,The Cockroach Costume,ゴキブリカバー,Vol 150,,Vol +3,Vol 8,Ep 501,,,,,,,,
G6,1979-11,The Multi-Purpose Charm,多目的おまもりは責任感が強い,Vol 68,,Vol 21,Vol 7,Ep 311,,Ep 581A (1035),,,,,,
G1,1979-12,The Slope Switch,さか道レバー,Vol 109,,Vol 35,Vol 12,Ep 446,,,,,,,,
G2,1979-12,The Dream Blaster,ツモリガン,Vol 66,Vol 1-7,Vol 20,Vol 11,Ep 1247,,Ep 672B (1176),,,,,,
G3,1979-12,The Pretendax,オモイコミン,Vol 72,Vol 1-7,Vol 22,Vol 10,Ep 321,,Ep 551B (982),,,,,,
G4,1979-12,The Vampire Kit,ドラキュラセット,Vol 69,Vol 1-7,Vol 21,Vol 9,Ep 363,,Ep 225B (371),Ep 627B (1098),,,,,
G5,1979-12,The Santa Stationery,サンタメール,Vol 70,Vol 2-6,Vol 21,Vol 8,Ep 487–488,Ep 1428,Ep 195 (328),,,,,,
G6,1979-12,The Great Letter-ature Pen,もはん手紙ペン,Vol 73,Vol 1-8,Vol 23,Vol 7,Ep 408,Ep 1780,Ep 645B (1132),,,,,,
TK,1979-12,The Move Mimicker,まねコン,Vol 70,,Vol 21,Vol 19,Ep 472,,Ep 145B (262),,,,,,
G1,1980-01,The Folding House,おりたたみハウス,Vol 77,,Vol 24,Vol 12,Ep 478,,,,,,,,
G2,1980-01,The Parachute Race,ぼうけんパラシュート,Vol 83,,Vol 26,Vol 11,Ep 310,,Ep 611B (1074),,,,,,
G3,1980-01,The Long New Year,長い長いお正月,Vol 75,,Vol 23,Vol 10,Special (Ep 643B),,Ep 197 (331),,,,,,
G4,1980-01,The Snow Filters,雪アダプターいろいろあるよ,Vol 84,,Vol 26,Vol 9,Ep 316,,Ep 284A (462),Ep 550B (980),,,,,
G5,1980-01,The Territory Marker,ナワバリエキス,Vol 76,,Vol 24,Vol 8,Ep 315,,,,,,,,
G6,1980-01,The Shadow Catcher,影とりプロジェクター,Vol 64,,Vol 19,Vol 7,Ep 331,,Ep 467B (824),,,,,,
TK,1980-01,The Blueprint Paper,設計紙で秘密基地を！,Vol 65,,Vol 20,Vol 19,Ep 903,,Ep 389A (666),,,,,,
CC,1980-01,Noby's Dinosaur,のび太の恐竜,Vol L1,,Vol L1,Vol L1,,,,,,Nobita's Dinosaur,Nobita's Dinosaur 2006,,
G1,1980-02,Pathfinder Cards,道すじカード,Vol 165,,,Vol 12,Ep 340,,,,,,,,
G2,1980-02,Noby's Rock-Hound,かわいい石ころの話,Vol 116,Vol 2-2,Vol 37,Vol 11,Ep 1103,,Ep 73B (143),Ep 262B (423),Ep 656B (1149),,,,
G3,1980-02,Handmade Robot Rampage,大あばれ、手作り巨大ロボ,Vol 20,,Vol 23,Vol 10,Ep 547–548,,Ep 152 (272),Ep 802A (1375),,Nobita and the Steel Troops,Nobita and the New Steel Troops,,
G4,1980-02,The All-Seeing Glasses,万能グラス,Vol 153,,Vol +4,Vol 9,Ep 362,Ep 1450,,,,,,,
G5,1980-02,Noby's Underground Empire ,のび太の地底国,Vol 84,,Vol 26,Vol 8,Ep 508–509,,Ep 7 (13),,,Nobita and the Knights on Dinosaurs,,,
G6,1980-02,Little G's Boyfriend… Noby!?,ジャイ子の恋人＝のび太,Vol 71,Vol 3-5,Vol 22,Vol 7,Ep 355,,Ep 21B (41),Ep 531B (944),,,,,
TK,1980-02,A Night on the Galactic Railway,天の川鉄道の夜,Vol 66,Vol 2-6,Vol 20,Vol 19,,,Ep 162 (286),,,Nobita and the Galaxy Super-express,,,
G1,1980-03,The Long-Distance Mom Drops,ママをたずねて三千キロじょう,Vol 69,,Vol 21,Vol 12,Ep 588,,Ep 443B (778),,,,,,
G2,1980-03,The Auto-Puppet Show,自動人形劇,Vol 171,,,Vol 11,Ep 378,,Ep 836A (1418),,,,,,
G3,1980-03,The Sprite Summoner,精霊よびだしうでわ,Vol 70,Vol 1-7,Vol 21,Vol 10,Special (Ep 491B),,Ep 118B (222),Ep 645A (1131),,,,,
G4,1980-03,The Material Converter,材質変換機,Vol 80,Vol 3-3,Vol 25,Vol 9,Ep 371,Ep 1652,Ep 432A (758),,,,,,
G5,1980-03,The Happy Promenade,ハッピープロムナード,Vol 69,Vol 3-1,Vol 21,Vol 8,Ep 366,Ep 1645,Ep 298B (487),Ep 804B (1380),,,,,
G6,1980-03,The Revenge House,チューシン倉でかたきうち,Vol 159,,Vol +6,Vol 7,Ep 368,Ep 1433,,,,,,,
TK,1980-03,Japan Expands,ひろびろ日本,Vol 68,,Vol 21,Vol 19,Ep 606,,Ep 682A (1193),,,,,,
G1,1980-04,Water Striders,あめんぼう,Vol 164,,,Vol 13,Ep 383,,Ep 862B (1455),,,,,,
G2,1980-04,Cloud Chow,きんとフード,Vol 167,,,Vol 12,Ep 496,,Ep 259A (416),Ep 912A (1515),,,,,
G3,1980-04,Snowless Skiing,雪がなくてもスキーはできる,Vol 68,,Vol 21,Vol 11,Ep 372,,Ep 907B (1509),,,,,,
G4,1980-04,Enter the Owlman,フクロマンスーツ,Vol 106,,Vol 34,Vol 10,Ep 380,,Ep 90B (173),Ep 516B (913),,,,,
G5,1980-04,Wild Wild Noby,ガンファイターのび太,Vol 78,,Vol 24,Vol 9,Ep 517–518,Ep 910,Ep 115–116 (217–218),Ep 507 (898),,,,,
G6,1980-04,The Personal Limelight,めだちライトで人気者,Vol 77,Vol 1-8,Vol 24,Vol 8,Ep 1248,,Ep 98B (187),,,,,,
TK,1980-04,The Mecha-Maker,メカ・メーカー,Vol 19,,Vol 22,Vol 19,Ep 610,,Ep 273B (443),,,,,,
G1,1980-01,The Get Started Pistol,すぐやるガン,Vol 104,,Vol 33,Vol 13,Ep 458,,,,,,,,
G2,1980-05,The Rope of Justice,おそるべき正義ロープ,Vol 73,Vol 1-8,Vol 23,Vol 12,Ep 419,Ep 1519,Ep 70A (136),Ep 606A (1069),,,,,
G3,1980-05,We Lost the Time Machine!!,タイムマシンがなくなった！！,Vol 19,,Vol 22,Vol 11,Ep 512–513,Ep 901,Ep 1B (2),Ep 350C (589),,,,,
G4,1980-05,The Secret Dog,ヒミツゲンシュ犬,Vol 142,,Vol +1,Vol 10,Ep 713,,Ep 749A (1296),,,,,,
G5,1980-05,Heart Chocolates,ココロチョコ,Vol 142,,Vol +1,Vol 9,Ep 426,,Ep 472A (833),,,,,,
G6,1980-05,The Hotel Fixer-Uppers,オンボロ旅館をたて直せ,Vol 100,,Vol 32,Vol 8,Ep 475,Ep 896,Ep 426C (747),,,,,,
TK,1980-05,The Devil Card,デビルカード,Vol 15,Vol 1-7,Vol 22,Vol 19,Ep 573,,Ep 65B (127),Ep 706A (1228),,,,,
G1,1980-06,The Robot Suit,ロボット服,Vol 165,,,Vol 13,Ep 470,,,,,,,,
G2,1980-06,The Holy Hanky,ぼくのまもり紙,Vol 75,,Vol 23,Vol 12,Ep 460,Ep 1070,Ep 447B (786),,,,,,
G3,1980-06,"Happy Birthday, Big G!",ハッピーバースデイ・ジャイアン,Vol 73,Vol 2-4,Vol 23,Vol 11,Ep 485,,Ep 175–176,Ep 406C (703),,,,,
G4,1980-06,1 Punch = 100 Yen,ポカリ＝百円,Vol 88,,Vol 28,Vol 10,Ep 443,Ep 1648,,,,,,,
G5,1980-06,Treasure Planet,宝星,Vol 138,,Vol 44,Vol 9,Ep 1466,,Ep 24B (47),Ep 698 (1218),,,,,
G6,1980-06,Animation Made Easy,アニメ制作なんてわけないよ,Vol 77,,Vol 24,Vol 8,Ep 434,,Ep 84A (160),,,,,,
TK,1980-06,20th Century Shogun,二十世紀のおとのさま,Vol 76,,Vol 24,Vol 19,Ep 477,Ep 879,Ep 106B (200),Ep 501B (887),,,,,
G1,1980-07,The Puddle Spray,どんぶらガス,Vol 82,,Vol 26,Vol 13,Ep 572,,Ep 783A (1346),,,,,,
G2,1980-07,The Dividing Hammer,分身ハンマー,Vol 85,,Vol 27,Vol 12,Ep 520,,Ep 340B (570),,,,,,
G3,1980-07,Sneech the Psychic,エスパースネ夫,Vol 97,,Vol 31,Vol 11,Ep 481,,Ep 46A (90),Ep 590B (1050),,,,,
G4,1980-07,The Calamity-Caster,災難予報機,Vol 152,,Vol +4,Vol 10,Ep 564,,,,,,,,
G5,1980-07,The Liar Matcher,どっちがウソか！アワセール,Vol 119,,Vol 38,Vol 9,Ep 431,,Ep 58B (116),Ep 713B (1242),,,,,
G6,1980-07,Attraction Reaction,みせかけモテモテバッジで大さわぎ,Vol 148,,Vol +3,Vol 8,Ep 468,,Ep 438B (768),,,,,,
TK,1980-07,The Indoor Aquarium,おざしき水族館,Vol 74,Vol 1-8,Vol 23,Vol 19,Ep 474,,Ep 405A (698),Ep 663B (1161),,,,,
G1,1980-08,A 3D Experience,実体げんとう機,Vol 164,,,Vol 13,Ep 502,,,,,,,,
G2,1980-08,The Roller Patroller,パトローラー,Vol 171,,,Vol 12,Ep 609,,,,,,,,
G3,1980-08,The Cheerleader Gloves,勝利をよぶチアガール手ぶくろ,Vol 74,,Vol 23,Vol 11,Ep 503,,Ep 159B (283),Ep 722D (1257),,,,,
G3,1980-08,,道路光線,,,,Vol 11,,,,,,,,,"Bonus comic drawn as a contest prize. Later expanded into ""歩け歩け月までも"" (""Walking to the Moon"")."
G3,1980-08,,さよならハンカチ,,,,Vol 11,,,Ep 2 (Short),,,,,,Bonus comic drawn as a contest prize.
G3,1980-08,,シューズセット,,,,Vol 11,,,Ep 11 (Short),,,,,,Bonus comic drawn as a contest prize.
G4,1980-08,8 Days at the Dragon King's Palace ,竜宮城の八日間,Vol 81,,Vol 25,Vol 10,Ep 827,,Ep 32C (64),Ep 372C (633),,,,,
G5,1980-08,The Future Camera,ユクスエカメラ,Vol 103,,Vol 33,Vol 9,Ep 507,,Ep 628B (1100),,,,,,
G6,1980-08,Worse Than Me,ぼくよりダメなやつがきた,Vol 18,Vol 1-8,Vol 23,Vol 8,Ep 499,,Ep 134A (244),Ep 404B (697),,,,,
TK,1980-08,The Good Luck Drops,アヤカリン,Vol 67,,Vol 20,Vol 19,Ep 505,,Ep 484B (855),,,,,,
G1,1980-09,The Ocean Controller,海水コントローラー,Vol 161,,,Vol 13,Ep 985,,,,,,,,
G2,1980-09,The Gamechanger Camera,カチカチカメラ,Vol 71,,Vol 22,Vol 12,Ep 540,,Ep 746B (1295),,,,,,
G3,1980-09,South Seas Adventure,南海の大冒険,Vol 139,,Vol 45,Vol 11,Ep 1141,,Ep 410C (715),,,Nobita's Great Adventure in the South Seas,,,
G4,1980-09,The Mess of Monsters,つめあわせオバケ,Vol 97,,Vol 31,Vol 10,Ep 1363,,Ep 58A (115),Ep 668A (1168),,,,,
G5,1980-09,The Equalizer,ビョードーばくだん,Vol 82,Vol 1-9,Vol 26,Vol 9,Ep 519,,Ep 60A (119),,,,,,
G6,1980-09,The See-Through Stickers,透視シールで大ピンチ,Vol 74,,Vol 23,Vol 8,Ep 515,Ep 1774,Ep 49A (96),Ep 793B (1363),,,,,
TK,1980-09,The Water Sculpture Sprinkles,水加工用ふりかけ,Vol 74,,Vol 23,Vol 19,Ep 672,,Ep 59B (118),,,,,,
CC,1980-09,Noby the Spaceblazer,のび太の宇宙開拓史,Vol L2,,Vol L2,Vol L1,,,,,,"The Records of Nobita, Spaceblazer",The New Record of Nobita's Spaceblazer,,
G1,1980-10,Never-Lose Labels,持ちぬしシール,Vol 166,,,Vol 13,Ep 535,,,,,,,,
G2,1980-10,Bang-Paper,かんしゃく紙,Vol 156,,Vol +5,Vol 12,Ep 528,,,,,,,,
G3,1980-10,The Sleep War,出木杉グッスリ作戦,Vol 16,Vol 2-4,Vol 22,Vol 11,Ep 578,,Ep 23B (45),,,,,,
G4,1980-10,The Hot Spring Rope,温泉ロープでいい湯だな,Vol 72,,Vol 22,Vol 10,Ep 526,,Ep 321B (534),,,,,,
G5,1980-10,The Grown-Up Scolding Pass,大人をしかる腕章,Vol 103,,Vol 33,Vol 9,Ep 531,Ep 1488,Ep 622A (1087),,,,,,
G6,1980-10,"A Home for ""Ruff""",のら犬「イチ」の国,Vol 72,Vol 2-1,Vol 22,Vol 8,Ep 529–530,Special (Ep 897A),Ep 228–229 (375–376),,,Nobita in the Wan-Nyan Spacetime Odyssey,,,
TK,1980-10,The Friendcense,なかまいりせんこう,Vol 80,,Vol 25,Vol 19,Ep 584,,Ep 445B (782),,,,,,
G1,1980-11,The Reversi-Mirror,とりかえミラー,Vol 167,,,Vol 13,Ep 568,,,,,,,,
G2,1980-11,The Completer Beam,かんせいウェーブ,Vol 188,,,Vol 12,Ep 557,,,,,,,,
G3,1980-11,The Charter Phone,かしきり電話,Vol 133,,Vol 43,Vol 11,Ep 537,,Ep 782B (1345),,,,,,
G4,1980-11,The Fringe Theory Club Badges,異説クラブメンバーズバッジ,Vol 75,,Vol 23,Vol 10,Ep 621,,Ep 166–167 (290–291),,,Nobita's Chronicle of the Moon Exploration,,,
G5,1980-11,The Obedient Robot,すなおなロボットがほし～い！,Vol 186,,,Vol 9,Ep 555,,,,,,,,
G6,1980-11,"Goodbye, Shizuka",しずちゃんさようなら,Vol 102,Vol 2-3,Vol 32,Vol 8,Ep 576,Ep 881,Ep 13B (26),Ep 282B (459),,Stand by Me Doraemon,,,
TK,1980-11,The People Player,本人ビデオ,Vol 73,Vol 1-8,Vol 23,Vol 19,Ep 611,Ep 1778,Ep 127B (234),Ep 565A (1007),,,,,
G1,1980-12,The Mall Mallet,うちでのデパート,Vol 73,,Vol 23,Vol 13,Ep 593,,Ep 737A (1281),,,,,,
G2,1980-12,Noby's Helicopter,のび太のヘリコプター,Vol 76,,Vol 24,Vol 12,Ep 580,,Ep 783B (1347),,,,,,
G3,1980-12,The Wakey Waker,オキテテヨカッタ,Vol 75,Vol 3-4,Vol 23,Vol 11,Ep 543,,,,,,,,
G4,1980-12,The Long-Distance Mirror,うつしっぱなしミラー,Vol 72,Vol 2-1,Vol 22,Vol 10,Ep 546,Ep 1647,Ep 711B (1238),,,,,,
G5,1980-12,Noby's Rescue Party,のび太救出決死探検隊,Vol 71,Vol 1-7,Vol 22,Vol 9,Ep 625,,Ep 87 (167),,,,,,
G6,1980-12,Addicted to Big G,ジャイアンリサイタルを楽しむ方法,Vol 78,Vol 1-8,Vol 24,Vol 8,Ep 536,,Ep 424A (741),,,,,,
TK,1980-12,Little G the Comic Artist,まんが家ジャイ子,Vol 77,Vol 1-8,Vol 24,Vol 19,Ep 538,,Ep 8B (15),Ep 695B (1214),,,,,
